Model,Lingjie,Shaohanh,Label3_8B,Lingjie-70B,shaohanh-70B,Label3-70B,group_1_sum,group_1_avg,group_2_sum,group_2_avg
Meta-Llama-3.1-70B-Instruct,14:32:4,14:30:6,15:30:5,17:33:0,19:30:1,16:33:1,43/92/15,14.3:30.7:5.0,52/96/2,17.3:32.0:0.7
Meta-Llama-3.1-8B-Instruct,23:24:3,16:28:6,22:23:5,23:26:1,25:23:2,23:25:2,61/75/14,20.3:25.0:4.7,71/74/5,23.7:24.7:1.7
Qwen2-72B-Instruct,30:18:2,35:13:2,38:12:0,36:13:1,42:7:1,39:10:1,103/43/4,34.3:14.3:1.3,117/30/3,39.0:10.0:1.0
tulu-2-dpo-70b,43:5:2,43:4:3,45:4:1,46:3:1,46:3:1,46:3:1,131/13/6,43.7:4.3:2.0,138/9/3,46.0:3.0:1.0
